Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value,Method,16 and Over,16-24,25-34,35-49,50-59,60 and Over,All Pharmacotherapy Prescriptions,Nicotine Replacement Therapy (NRT) Prescriptions,Bupropion (Zyban) Prescriptions,Varenicline (Champix) Prescriptions,Net Ingredient Cost of All Pharmacotherapies,Net Ingredient Cost of Nicotine Replacement Therapies (NRT),Net Ingredient Cost of Bupropion (Zyban),Net Ingredient Cost of Varenicline (Champix),"Tobacco Price
Index","Retail Prices
Index",Tobacco Price Index Relative to Retail Price Index,Real Households' Disposable Income,Affordability of Tobacco Index,Household Expenditure on Tobacco,Household Expenditure Total,Expenditure on Tobacco as a Percentage of Expenditure,mortality_target
2012,C00-D48,All cancers,All cancers,Number of observed deaths,Female,63688,,,,,,,,,,,,,,,,,,,,,,,,0
2012,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Female,34668,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Female,66792,,,,,,,,,,,,,,,,,,,,,,,,0
2012,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Female,11871,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Female,12682,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Female,617,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Female,129,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Female,1982,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Female,702,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Female,1415,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Female,1274,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Female,1387,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Female,3625,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Female,4285,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Female,1061,,,,,,,,,,,,,,,,,,,,,,,,0
2012,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,408,,,,,,,,,,,,,,,,,,,,,,,,0
2012,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,11331,,,,,,,,,,,,,,,,,,,,,,,,0
2012,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,13951,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,13220,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,24886,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,1370,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,20263,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,2424,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,104,,,,,,,,,,,,,,,,,,,,,,,,0
2012,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Female,950,,,,,,,,,,,,,,,,,,,,,,,,0
2012,All codes,All deaths,All deaths,Attributable number,Female,31400,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C00-D48,All cancers,All cancers,Attributable number,Female,13400,,,,,,,,,,,,,,,,,,,,,,,,0
2012,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,11000,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,6600,,,,,,,,,,,,,,,,,,,,,,,,0
2012,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,400,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,9200,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,300,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,100,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,1200,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,100,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,400,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,100,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,200,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,900,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,900,,,,,,,,,,,,,,,,,,,,,,,,0
2012,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,100,,,,,,,,,,,,,,,,,,,,,,,,0
2012,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,300,,,,,,,,,,,,,,,,,,,,,,,,0
2012,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,8700,,,,,,,,,,,,,,,,,,,,,,,,0
2012,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,2000,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,1300,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,2500,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,200,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,1200,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1300,,,,,,,,,,,,,,,,,,,,,,,,0
2012,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,0,,,,,,,,,,,,,,,,,,,,,,,,0
2012,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,400,,,,,,,,,,,,,,,,,,,,,,,,0
2011,All codes,All deaths,All deaths,Number of observed deaths,,442759,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,,238301,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C00-D48,All cancers,All cancers,Number of observed deaths,,132886,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,,62801,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,,129594,,,,,,,,,,,,,,,,,,,,,,,,0
2011,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,,22675,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,,28143,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,,1867,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,,640,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,,6191,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,,702,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,,4211,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,,3451,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,,3899,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,,6948,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,,8448,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,,2407,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,,1168,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,,21673,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,,23936,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,20784,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,59723,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,2438,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,33562,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,,5769,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,,168,,,,,,,,,,,,,,,,,,,,,,,,0
2011,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,,2173,,,,,,,,,,,,,,,,,,,,,,,,0
2011,All codes,All deaths,All deaths,Attributable number,,78600,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C00-D48,All cancers,All cancers,Attributable number,,37200,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,,22400,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,,18000,,,,,,,,,,,,,,,,,,,,,,,,0
2011,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,,1100,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,,22900,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,,1200,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C32,Larynx,Cancers which can be caused by smoking,Attributable number,,500,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,,4100,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C53,Cervical,Cancers which can be caused by smoking,Attributable number,,100,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C67,Bladder,Cancers which can be caused by smoking,Attributable number,,1700,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,,800,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C16,Stomach,Cancers which can be caused by smoking,Attributable number,,800,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,,1700,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,,3100,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,,400,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,,1000,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,,17000,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,,4400,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,2800,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,8300,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,,400,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,,2900,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,,3500,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,,0,,,,,,,,,,,,,,,,,,,,,,,,0
2011,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,,1100,,,,,,,,,,,,,,,,,,,,,,,,0
2011,All codes,All deaths,All deaths,Number of observed deaths,Male,212678,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Male,122270,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C00-D48,All cancers,All cancers,Number of observed deaths,Male,69843,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Male,29692,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Male,64381,,,,,,,,,,,,,,,,,,,,,,,,0
2011,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Male,10981,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Male,15694,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Male,1207,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Male,519,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Male,4179,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Male,.,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Male,2846,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Male,2125,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Male,2457,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Male,3497,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Male,3897,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Male,1337,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,716,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,11129,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,10086,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,8655,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,34908,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,1008,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,13357,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,3434,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,74,,,,,,,,,,,,,,,,,,,,,,,,0
2011,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Male,1145,,,,,,,,,,,,,,,,,,,,,,,,0
2011,All codes,All deaths,All deaths,Attributable number,Male,47100,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C00-D48,All cancers,All cancers,Attributable number,Male,23600,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,11800,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,11200,,,,,,,,,,,,,,,,,,,,,,,,0
2011,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,600,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,13700,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,900,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,400,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,2900,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,.,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,1200,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,700,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,600,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,800,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,2100,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,300,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,600,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,8800,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,2400,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1500,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,5600,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,200,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1700,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,2100,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,0,,,,,,,,,,,,,,,,,,,,,,,,0
2011,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,600,,,,,,,,,,,,,,,,,,,,,,,,0
2011,All codes,All deaths,All deaths,Number of observed deaths,Female,230081,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Female,116031,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C00-D48,All cancers,All cancers,Number of observed deaths,Female,63043,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Female,33109,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Female,65213,,,,,,,,,,,,,,,,,,,,,,,,0
2011,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Female,11694,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Female,12449,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Female,660,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Female,121,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Female,2012,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Female,702,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Female,1365,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Female,1326,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Female,1442,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Female,3451,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Female,4551,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Female,1070,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,452,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,10544,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,13850,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,12129,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,24815,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,1430,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,20205,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,2335,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,94,,,,,,,,,,,,,,,,,,,,,,,,0
2011,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Female,1028,,,,,,,,,,,,,,,,,,,,,,,,0
2011,All codes,All deaths,All deaths,Attributable number,Female,31500,,,,,,,,,,,,,,,,,,,,,,,,0
2011,C00-D48,All cancers,All cancers,Attributable number,Female,13700,,,,,,,,,,,,,,,,,,,,,,,,0
2011,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,10600,,,,,,,,,,,,,,,,,,,,,,,,0
2011,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,6800,,,,,,,,,,,,,,,,,,,,,,,,0
